UNITED STATES OF AMERICA;US;AATS;AATS;O;ASSENT ATS;smth;JERSEY CITY;WWW.SUNGARD.COM;Okt 11;ACTIVE;Okt 11;ASSENT ATS IS A US EQUITY DARK POOL OPERATED BY ASSENT, LLC - A SUBSIDIARY OF SUNGARD.
;;ACKF;KNIG;S;KCG ACKNOWLEDGE FI;ACKFI;NEW YORK;WWW.KCG.COM;Mrz 17;ACTIVE;Mrz 17;BI-LATERAL FIXED INCOME LIQUIDITY.
;;ADVT;ADVT;O;ADVISE TECHNOLOGIES - APA TRANSPARENCY REPORTING;;NEW YORK;WWW.ADVISETECHNOLOGIES.COM;Aug 17;ACTIVE;Aug 17;APPROVED PUBLICATION ARRANGEMENT (APA).
;;ALDP;XNYS;S;NYSE ALTERNEXT DARK;AMEXDARK;NEW YORK;WWW.EURONEXT.COM/LANDING/EQUITIESOP-21363-EN.HTML;Mai 11;ACTIVE;Mai 11;DARK POOL.
;;AMLG;AMLG;O;AMERICAN LEDGER ATS;;MOORPARK;WWW.AMERICANLEDGER.COM;Apr 21;ACTIVE;Apr 21;ALTERNATIVE TRADING SYSTEM.
;;AMXO;XNYS;S;NYSE AMEX OPTIONS;NYSE;NEW YORK;WWW.NYSE.COM;Nov 08;ACTIVE;Nov 08;
;;AQUA;AQUA;O;AQUA EQUITIES L.P.;;NEW YORK;WWW.AQUAEQUITIES.COM;Sep 08;ACTIVE;Sep 08;REGISTERED MARKET FOR BLOCK EQUITIES
;;ARCD;XNYS;S;ARCA DARK;ARCADARK;NEW YORK;WWW.NYSE.COM;Mai 11;ACTIVE;Mai 11;DARK POOL.
;;ARCO;XNYS;S;NYSE ARCA OPTIONS;;NEW YORK;WWW.NYSE.COM;Okt 09;ACTIVE;Okt 09;NYSE ARCA OPTIONS TRADING PLATFORM FROM NYSE EURONEXT.
;;ARCX;XNYS;S;NYSE ARCA;NYSE;NEW YORK;WWW.NYSE.COM;Sep 06;ACTIVE;Sep 06;
;;ARKX;ARKX;O;ARKONIS;ARKX;NEW YORK;WWW.NEXSMART.COM;Apr 19;ACTIVE;Apr 19;
;;ASEF;ASEF;O;AEGIS SWAP EXECUTION FACILITY;;THE WOODLANDS;HTTPS://AEGIS-HEDGING.COM/SWAP-EXECUTION-FACILITY;Okt 21;ACTIVE;Okt 21;SWAP EXECUTION FACILITY.
;;ASMT;INCR;S;INTELLIGENTCROSS ASPEN MAKER/TAKER;;STAMFORD;WWW.INTELLIGENTCROSS.COM;Okt 19;ACTIVE;Okt 19;
;;ASPI;INCR;S;INTELLIGENTCROSS ASPEN INVERTED;;STAMFORD;WWW.INTELLIGENTCROSS.COM;Okt 19;ACTIVE;Okt 19;
;;ASPN;INCR;S;INTELLIGENTCROSS ASPEN INTELLIGENT BID/OFFER;;STAMFORD;WWW.INTELLIGENTCROSS.COM;Okt 19;ACTIVE;Okt 19;
;;BAML;BAML;O;BANK OF AMERICA - MERRILL LYNCH INSTINCT X ATS;MLIX;NEW YORK;HTTP://CORP.BANKOFAMERICA.COM/BUSINESS/CI/TRADER-INSTINCT;Feb 15;ACTIVE;Okt 10;REGISTERED ATS (ATS 2)
;;BAMX;BAMX;O;BANK OF AMERICA - MERRILL LYNCH GCX;MLCX;NEW YORK;WWW.BOFAML.COM/EN-US/CONTENT/HIGH-TOUCH-ELECTRONIC-TRADING.HTML;Dez 17;ACTIVE;Dez 17;CROSSING ENGINE FOR EQUITIES.
;;BARD;BARX;S;BARCLAYS FX - TRADING;BCAP LX;NEW YORK;WWW.BARX.COM/FX/INDEX.HTML;Aug 12;ACTIVE;Mai 11;
;;BARL;BARX;S;BARCLAYS LIQUID MARKETS;;NEW YORK;WWW.BARCAP.COM;Mrz 13;ACTIVE;Mrz 13;
;;BARX;BARX;O;BARCLAYS ATS;;NEW YORK;WWW.BARX.COM/EQUITIES/LIQUIDITYCROSSING.HTML;Mrz 13;ACTIVE;Jan 10;REGISTERED ATS.
;;BATO;XCBO;S;CBOE BZX OPTIONS EXCHANGE;BATO;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Nov 09;
;;BATS;XCBO;S;CBOE BZX U.S. EQUITIES EXCHANGE;BATS;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Nov 08;
;;BATY;XCBO;S;CBOE BYX U.S. EQUITIES EXCHANGE;BYXX;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Nov 09;CBOE BYX U.S. EQUITIES EXCHANGE.
;;BBOK;BARX;S;BARCLAYS SINGLE DEALER PLATFORM;BBOK;NEW YORK;WWW.INVESTMENTBANK.BARCLAYS.COM/MARKETS/EQUITIES-LIQUID-MARKETS.HTML;Okt 20;ACTIVE;Okt 20;U.S. EQUITIES SINGLE DEALER PLATFORM/POOL.
