Product Status;Instrument Status;Instrument;ISIN;Product ID;Instrument ID;WKN;Mnemonic;Primary Market MIC Code
Active;Active;STRABAG SE;AT000000STR1;432891;7026002;000A0M23V;XD4;XWBO
Active;Active;FACC AG INH.AKT.;AT00000FACC2;52092;2504163;000A1147K;1FC;XWBO
Active;Active;RAIFFEISEN BK INTL INH.;AT0000606306;52094;2504165;000A0D9SU;RAW;XWBO
Active;Active;PORR AG;AT0000609607;52095;2504166;850185;ABS2;XWBO
Active;Active;LENZING AG;AT0000644505;52097;2504168;852927;LEN;XWBO
Active;Active;ERSTE GROUP BNK INH. O.N.;AT0000652011;52098;2504169;909943;EBO;XWBO
Active;Active;S IMMO AG;AT0000652250;52099;2504170;902388;T1L;XWBO
Active;Active;TELEKOM AUSTRIA AG;AT0000720008;52102;2504173;588811;TA1;XWBO
Active;Active;ANDRITZ AG;AT0000730007;52103;2504174;632305;AZ2;XWBO
Active;Active;OMV AG;AT0000743059;52104;2504175;874341;OMV;XWBO
Active;Active;VERBUND AG       INH. A;AT0000746409;52105;2504176;877738;OEWA;XWBO
Active;Active;FABASOFT AG;AT0000785407;52107;2504178;922985;FAA;XFRA
Active;Active;SEMPERIT AG HLDG;AT0000785555;432892;7026003;870378;SEW;XWBO
Active;Active;UNIQA INSURANCE GROUP AG;AT0000821103;52111;2504182;928900;UN9;XWBO
Active;Active;WARIMPEX FIN.U.BETEIL. AG;AT0000827209;52112;2504183;000A0LGV4;WFS;XWBO
Active;Active;WIENERBERGER;AT0000831706;52113;2504184;852894;WIB;XWBO
Active;Active;ZUMTOBEL GROUP AG INH. A;AT0000837307;52115;2504186;000A0JLPR;T9Z;XWBO
Active;Active;ROSENBAUER INTL;AT0000922554;52117;2504188;892502;ROI;XWBO
Active;Active;VOESTALPINE AG;AT0000937503;52118;2504189;897200;VAS;XWBO
Active;Active;MAYR-MELNHOF KARTON;AT0000938204;432893;7026004;890447;MYM;XWBO
Active;Active;SCHOELLER-BLECKMANN OILF.;AT0000946652;52119;2504190;907391;SLL;XWBO
Active;Active;AT+S AUSTR.T.+SYSTEMT.;AT0000969985;52120;2504191;922230;AUS;XWBO
Active;Active;POLYTEC HLDG AG INH. EO 1;AT0000A00XX9;432889;7026000;000A0JL31;P4N;XWBO
Active;Active;S+T AG O.N.;AT0000A0E9W5;52088;2504159;000A0X9EJ;SANT;XFRA
Active;Active;AMS-OSRAM AG;AT0000A18XM4;199787;4706827;000A118Z8;DQW1;XSWX
Active;Active;WOLFTANK-ADISA HLDG O.N.;AT0000A25NJ6;206698;4788983;000A2PBHR;WAH;WBDM
Active;Active;OESTERREICH. POST AG;AT0000APOST4;52087;2504158;000A0JML5;O3P;XWBO
Active;Active;BAWAG GROUP AG;AT0000BAWAG2;432890;7026001;000A2DYJN;0B2;XWBO
Active;Active;PIERER MOBILITY AG;AT0000KTMI02;76002;3218652;000A2JKHY;PMAG;XWBO
Active;Active;AGRANA BET.AG INH.;AT000AGRANA3;76192;3353273;000A2NB37;AGB2;XWBO
Active;Active;FREQUENTIS AG;ATFREQUENT09;134954;4064506;000A2PHG5;FQT;XFRA
Active;Active;VULCAN ENERGY RESOURCES;AU0000066086;471046;7383399;000A2PV3A;VUL;XASX
Active;Active;GALAPAGOS N.V.;BE0003818359;249386;5330135;000A0EAT9;GXE;XAMS
Active;Active;AGEAS SA/NV;BE0974264930;432894;7026005;000A1J1DR;FO4N;XBRU
